name,area,employer,salary_from,salary_to,currency,description,specialization,profarea,schedule,experience
Дизайнер интерьеров,Бишкек,ОсОО Колор Дизайн (COLOR.KG),30000,80000,KGS,"<p>Ищем талантливых, нестандартно мыслящих людей, чтобы вместе создавать уникальные интерьеры</p> <p><strong>Обязанности:</strong></p> <p>- разработка дизайн-проектов, чертежи.</p> <p>- общение с клиентами</p> <p>- подбор материалов, мебели, сантехники и освещения.</p> <p>- авторский надзор</p> <p><strong>Требования:</strong></p> <p>- умение работать в профильных программах</p> <p>- коммуникативные навыки</p> <p>- знание технических аспектов ремонта</p> <p>- понимание ценообразования ремонта</p> <p>- ответственность</p> <p>- уверенное владение программ: ArhiCAD, Photoshop</p> <strong>Условия:</strong> <p>- комфортный офис в южной части г. Бишкек</p> <p>- современное рабочее место</p> <p>- сдельная оплата труда</p> <p>- дружный коллектив</p> <p> </p>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Медицинский представитель,Бишкек,Фарм-Альянс ОсОО,30000,,KGS,"<p><strong>Обязанности:</strong></p> <p>- Организует и проводит переговоры с Клиентами, выясняет их потребности, ожидания и пожелания к продукции предприятия, осуществляет поиск и привлечение новых Клиентов, проводит мероприятия по изучению и анализу рынка, проводит мероприятия по изучению и анализу рынка</p> <p>- Проводит презентации продукции, консультирует Заказчиков по всем вопросам, связанным с оформлением и выполнением заказов, составляет коммерческие предложения, письма и передает их на рассмотрение.</p> <p>- Принимает заказы, оформляет договоры и другие документы, необходимые для выполнения заказа (в соответствии с перечнем документов и установленными требованиями), контролирует процесс исполнения заказа, в т.ч. работу подразделений, формирует и ведет базы данных по находящимся в работе и выполненным заказам, составляет отчеты по результатам работы согласно установленным требованиям, работа на результат, обеспечивая прирост продаж.</p> <strong>Требования:</strong> <ul> <li> <p>Высшее образование в области МЕДИЦИНЫ, ФАРМАЦЕВТИКИ, опыт работы не менее трех лет в сфере продаж</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Стабильная заработная плата, есть фиксированная окладная часть и премия, которая зависит от выручки (работаете на результат!).</p> <p>Удобное расположение в центре города, рабочий график: пн-пт с 8:30 до 17:30</p> </li> </ul>","Медицина, Фармацевтика",Продажи,Полный день,От 3 до 6 лет
Бухгалтер,Бишкек,Кафе-бар Лесной,40000,,KGS,<strong>Обязанности:</strong> <ul> <li>ведение ежедневного движения денежных средств</li> <li>отчеты налогов</li> <li>калькуляции</li> <li>начисление заработной платы</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы в общепите не менее 3х лет</li> <li>знание R-keeper</li> </ul> <strong>Условия:</strong> <ul> <li>график работы 6/1 с 8:00 - до 17:00</li> <li>официальное трудоустройство</li> <li>питание</li> </ul>,Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
Ассистент врача стоматолога (Медицинская сестра/Медицинский брат/Ординатор первого года),Бишкек,Стоматологическая клиника Облака,15000,,KGS,"<strong>Обязанности:</strong> <ul> <li>Ассистирование врачу-стоматологу (работа в четыре руки)</li> <li>Предстерилизационная подготовка инструментов.</li> <li>Подготовка кабинета, ген-уборка кабинета.</li> <li>Ведение бумажной и электронной документации.</li> </ul> <strong>Требования:</strong> <ul> <li>средне-специальное образование. Сертификат по повышению квалификации.</li> <li>Опыт ассистирования в стоматологии приветствуется.</li> </ul> <strong>Условия:</strong> <ul> <li>Полный рабочий день 6/7</li> <li>Официальное трудоустройство.</li> </ul>",Младший и средний медперсонал,"Медицина, фармацевтика",Полный день,От 1 года до 3 лет
"Оператор call-центра (удаленно, телефонные опросы)",Бишкек,Социологический центр Хи-Квадрат,18000,26000,RUR,"<p>Компания «Хи-Квадрат» успешно работает на российском рынке социологических и маркетинговых исследований с 1997 г. Мы имеем огромный опыт в проведении опросов общественного мнения по всей России, хорошую деловую репутацию и высокопрофессиональный, разносторонний и постоянно растущий коллектив.<br />Нашими клиентами являются крупные федеральные агентства - ФОМ, ВЦИОМ, Insomar, GFK, НАФИ, Magram MR, Ipsos.</p> <p>В нашу команду колл-центра &quot;Коллаж&quot; (CallAge) требуются операторы для проведения телефонных опросов (<em><strong>не продажи</strong></em>). Работая у нас, Вы сможете помочь большому количеству людей быть услышанными органами власти и производителями товаров и услуг!</p> <p><strong>Обязанности:</strong></p> <ul> <li>Проводить опросы в специализированной программе, которая автоматически соединяет Вас с респондентом;</li> <li>Зачитывать вопросы электронной анкеты с экрана компьютера;</li> <li>Фиксировать ответы в электронной анкете;</li> <li>Соблюдать график, который определяете Вы сами.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Грамотная устная и письменная речь;</li> <li>Готовность учиться;</li> <li>Коммуникабельность;</li> <li>Внимательность;</li> <li>Возможность работать в относительно тихом помещении.</li> </ul> <p><strong>Технические требования:</strong></p> <ul> <li>Компьютер или ноутбук с операционной системой Windows (iOS не подходит);</li> <li>Наушники с микрофоном;</li> <li>Стабильное подключение к сети интернет со скоростью не менее 10 Мбит/сек.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Занятость от 4-х часов в день и не менее 40ч. в месяц (работаем с 7:00 до 21:00 по мск.);</li> <li>Почасовая оплата (107-157 руб./час.). Неполные часы так же учитываются. Повышение ставки в первые недели работы в зависимости от успехов;</li> <li>Удаленная работа на дому (без посещения офиса);</li> <li>Своевременные выплаты 1-2 раза в месяц;</li> <li>Обучение за счет компании;</li> </ul> <p><strong>Преимущества:</strong></p> <ul> <li>Работа по гибкому графику, который Вы сами составляете как Вам удобно;</li> <li>Техническая поддержка по рабочим вопросам;</li> <li>Премии, бонусы;</li> <li>Возможность свободного общения с коллегами-операторами (чат операторов).</li> </ul> <p><strong>Если Вы откликнулись на нашу вакансию, менеджер обязательно свяжется с вами в ближайшее время!</strong></p>",Ввод данных,Административный персонал,Удаленная работа,Нет опыта
Офис-менеджер,Бишкек,Эминур Азия,20000,,KGS,"<strong>Обязанности:</strong> <ul> <li>Встреча Гостей</li> <li>прием документов</li> <li>обработка документов</li> <li>оформление документов</li> </ul> <strong>Требования:</strong> <ul> <li>Пунктуальность</li> <li>коммуникабельность</li> <li>знание английского,турецкого</li> <li>в команде работать</li> </ul> <strong>Условия:</strong> <ul> <li>5/2 рабочий день</li> <li>обед</li> <li>Дружная команда</li> <li>обучение</li> </ul>",Управляющий офисом (Оffice manager),Административный персонал,Полный день,От 1 года до 3 лет
Промоутер,Бишкек,ОсОО Вирули,20000,30000,KGS,"<p>Требуются промоутер-курьер в фотостудию для работы на Дордое.<br /><br />О нас: фотостудия &quot;Вирули&quot;, составляем каталог одежды под брендом Made in Kyrgyzstan. Основные клиенты- оптовики Дордоя.</p> <p><strong>Обязанности:</strong></p> <ul> <li>информировать клиентов о наших услугах;</li> <li>постоянный поиск новых клиентов по оптовым проходам Дордоя;</li> <li>доставка образцов одежды от клиентов до офиса;</li> </ul> <strong>Требования:</strong> <ul> <li>Знание кыргызского и русского языков.</li> <li>Личностные качества:<br />- ответственный;<br />- активный (нужно быть шустрым);<br />- общительный, даже очень разговорчивый;<br />- сообразительный;<br />- очень энергичный;</li> <li>Опыт работы промоутером или торговым агентом обязателен.</li> </ul> <strong>Условия:</strong> <ul> <li>график работы 9:00- 15:00 6/1;</li> <li>З/П- оклад+ % в среднем от 25000 сомов в месяц, зависит от старания и результатов;</li> <li>Оплата 1 раз в неделю;</li> <li>обязательное обучение;</li> </ul> <p>Работа полевая, то есть нужно много ходить.<br /><br />Работа долгосрочная- минимум на 1 год.<br /><br />Резюме отправлять на Whats App<br />Не звонить!</p>",Промоутер,"Маркетинг, реклама, PR",Полный день,От 1 года до 3 лет
Учитель математики,Бишкек,Клуб репетиторов Домашка help,5000,38000,KGS,<p>В связи с расширением штата требуется Учитель математики</p> <p>Сфера: Образовательные услуги</p> <p>Требования:</p> <ul> <li>Отличное знание предмета;</li> <li>ОРТ от 185 баллов;</li> <li>Свободное время от нескольких часов до полного рабочего дня;</li> <li>Умение работать с большим потоком информации и в условиях многозадачности;</li> <li>Опыт преподавания будет преимуществом</li> </ul> <p>Условия:</p> <ul> <li>график составляем индивидуально под каждого репетитораа</li> <li>Возможность так же работать из дома(онлай)</li> <li>Оборудованное рабочее место</li> <li>Оплата раз в неделю</li> <li>Офис находится рядом с Филармонией</li> <li>Выходит: от 5000 до 38 000 сом</li> <li>Обучение предусмотрено</li> </ul> <p>Преимущества работы у нас:</p> <ul> <li>Достойная заработанная плата</li> <li>Работа в одной из лучших образовательных компаний Бишкека</li> <li>Лояльное руководство</li> <li>Доброжелательная обстановка в офисе</li> <li>Удобная транспортная развязка</li> <li>Методическая поддержка</li> </ul>,Гуманитарные науки,"Наука, образование",Полный день,Нет опыта
Учитель начальных классов,Бишкек,ОЦ Дом Солнца,50000,,KGS,"<p>Дом Солнца - это центр альтернативного образования. Мы интегрируем идеи Монтессори и Вальдорфской педагогики, а также психологические подходы (сенсорная интеграция) в работе с ребенком. У нас есть детский сад полного дня и группа начальной школы.</p> <p>Сегодня мы приглашаем любящего детей, разностороннего, профессионального, глубоко знающего свой предмет учителя начальных классов в нашу школьную группу.</p> <p><strong>Обязанности:</strong><br />- организация учебного процесса и проведение базовых предметов начальной школы для 1-4 классов.<br />- изучение и внедрение альтернативных методик в образовательный процесс: Монтессори, Вальдорфская педагогика.</p> <p><strong>Требования:</strong><br />- Опыт работы учителем начальных классов не менее 3 лет;<br />- индивидуальный подход к ребенку и знание альтернативных методик обучения - приветствуется.<br />- желание выйти из стандартной школьной системы с большим количеством документации в более свободное творческое пространство.</p> <p><strong>Условия:</strong><br />- Высокая заработная плата. Индивидуально обговаривается на собеседовании.<br />- 13 детей в классе<br />- Трехразовое питание<br />- Повышение квалификации и обучение. Углубление в изучение метода Мотессори и Вальдорфской педагогики.<br />- Трудоустройство согласно законодательству КР.<br />- График работы: 8.00 - 15.00</p> <p> </p> <p> </p>",Гуманитарные науки,"Наука, образование",Полный день,От 3 до 6 лет
Инженер-сметчик,Бишкек,ОсОО «Эксперт Групп»,60000,,KGS,"<p>В команду наших партнеров нужен человек на позицию <strong>инженера-сметчика</strong>.</p> <p><strong>Что должно быть у вас?</strong><br /><br />- Знание технологий строительных работ;<br />- Знание пожарной и энергетической безопасности;<br />- Понимание проектно-сметной документации;<br />- Знание нормативов: ГОСТы и СНИПы;<br />- Знание стоимости строительных материалов на рынке;<br />- Опытный пользователь ПК, продвинутый пользователь Excel;<br />- Образование в инженерно-строительной отрасли;<br />- Опыт работы от 3-х лет.</p> <p><strong>Обязанности:</strong></p> <p>- Подготовка и составление сметной документации;<br />- Проверка сметной документации в части соблюдения требований к составу и содержанию сметной части;<br />- Составление замечаний по проектно-сметной документации, участие в их устранении;<br />- Проверка сметной документации и договорных цен подрядчиков;<br />- Составление актов дефектовки;<br />- Своевременное предоставление отчетов.</p> <p><br /><strong>Условия работы:</strong></p> <p>- График работы 5/2 с 9.00-18.00;<br />- Оформление по ТК РК;<br />- Работа в команде профессионалов;<br />- Конкурентный заработная плата.</p>",Строительство,"Строительство, недвижимость",Полный день,От 3 до 6 лет
Бухгалтер,Бишкек,ЭРУДИТ – INTERNATIONAL SCHOOL OF INNOVATIVE TECHNOLOGIES (ISIT),30000,35000,KGS,"<strong>Обязанности:</strong> <ul> <li> <p>Работа с первичной документацией, которая заключается в приеме, контроле и обработке первичных документов (актов, товарных накладных, товарно-транспортных накладных, кассовых и кадровых документов, договоров с контрагентами и т.д.);</p> <p>• ведение учета имущества организации, основных средств, обязательств;</p> <p>• начисление заработной платы сотрудникам компании;</p> <p>• взаимодействие с банками;</p> <p>• работа с импортом и экспортом,</p> <p>отражение движения ТМЦ по документам поступления, отгрузки, перемещения в программе 1С;</p> <p>* организация регулярных инвентаризаций материалов с отражением результатов в 1С;</p> <p>* взаимодействие с менеджерами отдела продаж (получение и передача информации по клиенту, документов по клиенту и т.д.),</p> <p>* работа в многозадачном режиме</p> <p>* выполнение отдельных поручений руководителя;</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Знание программы 1С (комплексная бухгалтерия 8.2);</p> <p>Знание программ для выполнения должностных обязанностей, уверенное владение ПК.</p> <p>Опыт работы на аналогичной должности не менее 2-х лет;</p> <p>Внимательность, аналитические способности, гибкость и системность. Умение вести переговоры, убеждать, отстаивать позиции компании в рамках своей компетенции.</p> <p>Профильное образование;</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>трудоустройство согласно законодательству KP</p> <p>Шестидневная рабочая неделя с 8:00 до 17:00</p> </li> </ul>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
Сотрудник службы безопасности,Бишкек,ОсОО Охранное агентство Бронь,10000,25000,KGS,"<strong>Обязанности:</strong> <ul> <li>Обеспечение защиты хранимых и материальных ценностей от краж, хищений и других преступных посягательств, пожаров, аварий, актов вандализма, общественных беспорядков</li> </ul> <strong>Условия:</strong> <ul> <li>Охрана объектов в городе Бишкек.</li> <li>График работы при собеседовании : Каждую ночь/ Посменный график работы</li> </ul>",Имущественная безопасность,Безопасность,Полный день,Нет опыта
Менеджер по закупкам,Кант,Кант ТШП,40000,,KGS,"<strong>Обязанности:</strong> <p>1. Расчёт лимитов потребления запасных частей, удельных норм расхода и запасов.</p> <p><strong>2. </strong>Анализирование причин преждевременного износа, поломок, повышенного расхода механического оборудования и запасных частей, спец. автотехники и запасных частей, электротехнического оборудования, специальной одежды и средств индивидуальной защиты, условий их эксплуатации.</p> <p><strong>3.</strong> Подборка документов для ответов юридическому отделу по возникающим претензиям.</p> <p><strong>4.</strong> Оформление документаций на получаемые грузы.</p> <p><strong>5. </strong>Осуществление контроля за правильным применением специальной одежды и СИЗ во время работы.</p> <p><strong>6. </strong>Получение контейнеров со станции Бишкек 1 и Аламедин 1 и сопровождение их в пути следования до склада комбината в сопровождении инспектора Токмакской таможни, обеспечивает сохранность грузов и своевременную их доставку.</p> <p><strong>7.</strong> Выполнение процедур по растаможиванию грузов и оформление соответствующих документов по радиационному фитосанитарному контролю.</p> <p><strong>8. </strong>Подготовливание проектов документов для декларирования.</p> <p><strong>9.</strong> Оформление документов душ прохождения таможенного контроля.</p> <p><strong>10.</strong> Ведение переписки с таможенными органами.</p> <p><strong>11.</strong> Отправка грузовых таможенных деклараций или железнодорожных накладных с отметкой таможни поставщикам.</p> <p><strong>12.</strong> Обеспечение безопасной организации работ по перемещению, доставке и разгрузке поступивших материалов и т.д.</p> <p> </p> <strong>Требования:</strong> <ul> <li>Опыт работы не менее 1 года</li> </ul> <strong>Условия:</strong> <ul> <li>Соц.пакет</li> </ul>",Продукты питания,Закупки,Полный день,От 1 года до 3 лет
Менеджер по работе с сетями,Бишкек,Орими КР,44300,60000,KGS,<strong>Обязанности:</strong> <ul> <li>детальное планирование объема продаж;</li> <li>анализированные полной клиентской базы;</li> <li>заключение договоров и проведение переговоров;</li> <li>подготовка отчетной документации;</li> <li>разработка маркетинговых стратегий;</li> <li>работа по расширению сетей.</li> </ul> <strong>Требования:</strong> <ul> <li>с опытом работы</li> </ul> <strong>Условия:</strong> <ul> <li>оформление согласно ТК КР</li> <li>полный соц пакет</li> <li>ЗП при собеседовании</li> <li>Резюме высылать по № 0 500 99 33 63 Салтанат юрист-HR менеджер</li> </ul>,Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
IT specialist / Web Developer,Бишкек,COMO FOREIGN EXCHANGE LIMITED,35000,100000,KGS,"<p><strong>Duties</strong>:</p> <ul> <li>Write well designed, testable, efficient code by using best software development practices.</li> <li>Create website layout/user interface by using standard HTML/CSS practices.</li> <li>Integrate data from various back-end services and databases.</li> <li>Gather and refine specifications and requirements based on technical needs.</li> <li>Create and maintain software documentation.</li> <li>Be responsible for maintaining, expanding, and scaling our site, crm, trading platform.</li> <li>Stay plugged into emerging technologies/industry trends and apply them into operations and activities.</li> <li> <p>Cooperate with our system providers to maintain company operations.</p> <p> </p> </li> </ul> <p><strong>Requirements:</strong></p> <ul> <li>Knowledge of Html5, Bootsrap5, ASP, ASP .NET, MVC and/or REACT NATIVE technologies, experience with XML - API, RSS, JAVA, JAVASCRIPT, CSS, JQUERY, web databases and application development.</li> <li>Knowledge of SEO (search engine optimization), ability to create websites with a landing page, funnel, and render sales-oriented web pages.</li> <li>Ability to draw up a periodic (monthly, quarterly, semi-annual, annual) reporting system.</li> <li>Proficiency in English or Turkish.</li> </ul> <strong>Work conditions:</strong> <ul> <li>45 hours per week.</li> <li>Flexible working hours.</li> </ul>",Сетевые технологии,"Информационные технологии, интернет, телеком",Полный день,От 1 года до 3 лет
Бухгалтер,Бишкек,LB Group,30000,,KGS,"<strong>Обязанности:</strong> <ul> <li>полное ведение бухгалтерского учета заведения общепита</li> <li>работа с калькуляциями</li> <li>проведение инвентаризаций</li> <li>управленческая, налоговая отчетность</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы с сфере общепита от 2х лет</li> <li>знание специализированных ресторанных программ (R-keeper/Iiko или др.)</li> <li>уверенные пользователь Excel/Word</li> </ul>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 1 года до 3 лет
Менеджер по продажам и работе с клиентами,Бишкек,ЛОКСТОК,,23000,KGS,"<strong>Обязанности:</strong> <ul> <li> <p>Обязанности:</p> <p>Предварительные переговоры и консультации с клиентами по телефону и электронной почте;</p> <p>· Консультирование клиентов и оформление счетов, накладных и типовых договоров на отпуск товара в офисе;</p> <p>· Объяснение технических особенностей той или иной продукции покупателям;</p> <p>· Ознакомление с новинками и сбор информации о потребностях клиентов;</p> <p> </p> </li> </ul> <p><strong>Требования:</strong></p> <p><strong>Обязательное знание 1С</strong></p> <p>Умение выслушать и понять конкретные запросы и потребности потенциальных клиентов;</p> <p>Умение объяснить технические свойства товара;</p> <p>Умение устанавливать деловые контакты с потенциальными покупателями и поддерживать связь с постоянными клиентами.</p> <p> </p> <p><strong>Условия:</strong></p> <p>Занятость: полный рабочий день с 09.00-17.00; суббота, воскресенье - выходной день</p> <p>Выплачиваются проценты с продаж</p> <p>Официальное трудоустройство</p> <p>Оплачиваемый отпуск</p> <p> </p>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Офис-менеджер,Бишкек,Металл Торг Сервис,30000,33000,KGS,"<strong>Обязанности:</strong> <p>- участие в рабочих собраниях и ведение протоколов встреч;<br />- контроль задач по протоколу;<br />- формирование отчетов и ведение аналитической работы;<br />- организация работы офиса;<br />- ведение делопроизводства;<br />- подготовка документов к отправке;<br />- регистрация входящей и исходящей документации;<br />- организация деловых встреч;<br />- выполнение административных поручений руководителей<br />- бронирование, выкуп авиабилетов и гостиниц.</p> <strong>Требования:</strong> <p>- высшее образование или средне-специальное образование;<br />- опыт работы от 1 года;<br />- грамотная устная и письменная речь русского, кыргызского языков, предпочтительны кандидаты со знанием английского и турецкого языков;<br />- знание делового этикета, правил делового общения;<br />- знание офисных программ (MS Office);<br />- уверенный пользователь ПК;<br />- мобильность, многозадачность, целеустремленность, тактичность, коммуникабельность;</p> <strong>Условия:</strong> <p>- график работы 6/1, 5/2 c 8.00-17.30<br />- работа в стабильной компании<br />- трудоустройство согласно ТК КР<br />- своевременная выдача заработной платы<br />- оплачиваемые обеды</p> <p>- место работы Пишпек.</p>",Управляющий офисом (Оffice manager),Административный персонал,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами,Бишкек,MegaStore ТМ,15000,,KGS,"<strong>Обязанности:</strong> <ul> <li>презентабельный внешний вид;<br />Опыт работы в сфере продаж, приветствуется<br />Умение расположить к себе клиента.<br />Функциональные обязанности:<br />Продажа товара;<br />Консультация покупателей;<br />Прием и выкладка товара;<br />Ведение отчётности;<br />Поддержание чистоты в магазине;<br />Проведение инвентаризации.</li> <li>Обучение и повышение квалификации;<br /><strong>Заработная плата – оклад + % с продаж.</strong></li> </ul>",Прямые продажи,Продажи,Полный день,Нет опыта
СММ специалист,Бишкек,МЦРЧ САМО (Международный центр развития человека САМО),20000,45000,KGS,"<strong>Обязанности:</strong> <ul> <li> <p>Изучать основные продукты, целевую аудиторию и конкурентов. На основе анализа составляет контент-план и согласовывает с руководителем.</p> </li> <li> <p>Создание контента, постановка задач дизайнеру, публикация постов согласно контент-плану.</p> </li> <li> <p>Коммуникации с подписчиками.</p> </li> </ul> <p>- Помощь в разработке стратегии по продвижению в сети ( предлагать КП, передача маркетологу на утверждение, а также предложение новинок в ведении социальных сетей, модные фишки и т.д);<br />- Дизайн и текст предоставляется! От SMM требуется оценка с точки зрения восприятия контента<br />- привлечение подписчиков ( поиск возможностей роста аудитории), увеличение аудитории;<br />-Таргетинг;<br />- Анализ посещаемости веб-ресурса, конверсии, эффективности<br />рекламных материалов;<br />- мониторинг эффективности продвижения страниц</p> <strong>Требования:</strong> <p>Мы ищем:<br />- Талантливую, исполнительную и ответственную личность;<br />- Опыт работы от года<br />- Навыки работы с визуальным текстовым контентом<br />- Наличие портфолио<br />- Готовность выполнить текстовые задания<br />- Умение разрабатывать контент план<br />- Навыки работы с дизайнерами и копирайтерами</p> <p>- Опыт работы с b2b</p> <ul> <li> <p>Преимуществом будет наличие опыта работы с бизнесменами, предпринимателями</p> </li> <li> <p>Готовность к совместной работе на старте</p> </li> </ul> <strong>Условия:</strong> <p>- Современный офис в Центре города (Район Дордой-Плазы)<br />- Своевременная конкурента способная заработная плата<br />- Интересные задачи<br />- Бонусная система KPI<br />- Работа в крупной международной компании</p> <p><strong>Что Вы получите:</strong></p> <ul> <li> <p>Интересный опыт работы с удивительными людьми (бизнес - сообщества, предприниматели, люди, которые хотят развиваться).</p> </li> <li> <p>Мощный ресурс в виде доступа к базе знаний.</p> </li> <li> <p>Любовь к совместным размышлениям и штурмам с непоколебимой верой в силу синергии.</p> </li> <li> <p>Молодой и креативный коллектив.</p> </li> </ul>",Производство рекламы,"Маркетинг, реклама, PR",Полный день,От 1 года до 3 лет
Офис-менеджер в строительную компанию,Бишкек,Rayan Building,20000,25000,KGS,"<p>В строительную компанию требуется офис менеджер</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Курирование работы офиса (поддержание порядка, открытие и закрытие офиса, организация работы лиц, причастных к офису).</p> </li> <li> <p>Взаимодействие со всеми отделами компании</p> </li> <li> <p>Ведение кадрового делопроизводства</p> </li> <li> <p>Ведение деловой переписки с партнерами и клиентами компании</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Уверенный пользователь офисных программ MS Office и офисной техники</p> </li> <li> <p>Умение вести кадровое делопроизводство компании</p> </li> <li> <p>Ведение офисных расходов</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Уютный офис в центре города</li> <li>Лояльное руководство в принятии решений</li> <li>График работы : 6/1 ,с 09:00 до 18:00, суббота -короткий день</li> </ul>",Управляющий офисом (Оffice manager),Административный персонал,Полный день,От 1 года до 3 лет
Менеджер по продажам недвижимости,Бишкек,UNO CITY,40000,,KGS,"Обязанности: <ul> <li> <p>Выполнение плана продаж по сделкам;</p> </li> <li> <p>Проведение презентаций клиентам, демонстрации объектов и заключение договоров;</p> </li> <li> <p>Сопровождение сделок.</p> </li> </ul> Требования: <ul> <li> <p>Вы имеете опыт работы в сфере продаж недвижимости более 5 лет;</p> </li> <li> <p>Вы гибкий и умеете находить общий язык с людьми;</p> </li> <li> <p>Вы можете убеждать и работать с возражениями. У вас хорошо получается находить решения и разбираться в потребностях и ожиданиях человека;</p> </li> <li> <p>Вы грамотно владеете кыргызским и русским языками;</p> </li> <li> <p>Вы можете ясно и доступно формулировать свои мысли в письменном и устном виде.</p> </li> </ul> Условия: <ul> <li> <p>Качественный продукт - современная европейская архитектура и технологичные решения;</p> </li> <li> <p>Офис с современной инфраструктурой и комфортными условиями для ежедневной работы;</p> </li> <li> <p>Проверенная временем и рынком система плановых показателей;</p> </li> <li> <p>Профессиональный опыт, обучение навыкам менеджмента, отраслевые программы обучения и обмен опытом.</p> </li> </ul>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Уборщица/Уборщик,Бишкек,ОсОО Ар Ти Групп,12000,,KGS,<strong>Обязанности:</strong> <ul> <li>Уборка в салоне красоты.</li> <li>Поддержание порядка в салоне.</li> </ul> <strong>Требования:</strong> <ul> <li>Ответственность.</li> <li>Чистоплотность.</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 2/2 посменный.</li> <li>С 8.00 до 20.00 полный рабочий день.</li> </ul>,Уборщица/уборщик,Административный персонал,Полный день,От 1 года до 3 лет
Procurement specialist,Бишкек,HR Consult,80000,,KGS,"<p><strong>Компания занимается оптовыми поставками промышленных групп товаров на крупнейшие горнорудные и металлургические предприятия Кырзыстана, Казахстана, Узбекистана.</strong></p> <p><strong>Товарные группы: горно-шахтное оборудование / металлопрокат / сырье</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>поиск производителей оборудования / сырья по всему миру;</li> <li>запрос коммерческих предложений, деловая переписка;</li> <li>ведение коммерческих переговоров с поставщиками оборудования по снижению стоимости;</li> <li>контроль сроков поставок товара от поставщиков, его качества;</li> <li>документальное сопровождение сделки.</li> </ul> <p><strong>Основные требования:</strong></p> <ul> <li>высшее образование (предпочтительно экономическое/техническое);</li> <li>опыт в закупках промышленной группы товаров;</li> <li>опыт ведения коммерческих переговоров на уровне ЛПР;</li> <li>понимание основ ВЭД и документооборота при импорте товара;</li> <li>высокая самоорганизованность, стрессоустойчивость, способность работать в режиме многозадачности;</li> <li>умение через переговоры добиваться от поставщиков нужного результата;</li> <li>готовность к командировкам.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Трудоустройство и оплата налогов в соответствии с законодательством Республики Кыргызстан;</li> <li>График работы: 5/2 с 9-00 до 18-00, в соответствии с производственным календарём Республики Кыргызстан;</li> <li>Испытательный срок – 3 месяца;</li> <li>Краткосрочные командировки;</li> <li>Мотивация: оклад 80 000 - 90 000 сомов + бонусы по итогам работы;</li> <li>Современный офис с комфортным расположением.</li> </ul>",Продукты питания,Закупки,Полный день,От 3 до 6 лет
